                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3576,                 1.1737,                 1.9423,                0.65136,                0.78095,                  0.726,                0.45284,                 1.3413,                 1.2055,                 2.1485,             0.00031304,             0.00031304,             0.00031304
                     56,                 1.3453,                 1.1411,                 1.9073,                0.60317,                0.79436,                0.73516,                0.45443,                 1.3648,                 1.2251,                 2.1544,             0.00029536,             0.00029536,             0.00029536
                     57,                 1.3281,                 1.1361,                 1.8756,                0.61793,                0.76417,                0.71991,                 0.4572,                 1.3411,                  1.235,                  2.133,             0.00027768,             0.00027768,             0.00027768
                     58,                 1.3182,                 1.1423,                 1.8787,                0.69434,                0.79423,                0.72857,                0.47415,                 1.2809,                  1.226,                 2.0638,                0.00026,                0.00026,                0.00026
                     59,                 1.3118,                 1.1165,                 1.8464,                0.74471,                0.77402,                0.74587,                0.49004,                 1.2929,                 1.2185,                  2.082,             0.00024232,             0.00024232,             0.00024232
                     60,                 1.2104,                 1.0662,                 1.8018,                0.75148,                 0.7361,                 0.7549,                0.48301,                 1.3293,                 1.2196,                 2.1137,             0.00022464,             0.00022464,             0.00022464
                     61,                 1.3218,                 1.5294,                 1.9396,                0.75502,                0.73434,                0.75712,                0.48279,                 1.2907,                 1.2263,                 2.0878,             0.00020696,             0.00020696,             0.00020696
                     62,                 1.3109,                 1.4851,                 2.0165,                0.74838,                0.70129,                0.73701,                0.50631,                 1.1967,                 1.3106,                 2.0024,             0.00018929,             0.00018929,             0.00018929
                     63,                 1.1659,                 1.3123,                 1.8351,                0.77018,                 0.7216,                0.80216,                0.52574,                 1.2495,                 1.3069,                 1.9479,             0.00017161,             0.00017161,             0.00017161
                     64,                 1.1666,                 1.3379,                 1.9106,                0.82194,                0.74114,                0.81167,                 0.5178,                 1.2986,                 1.2873,                 1.9498,             0.00015393,             0.00015393,             0.00015393
                     65,                  1.068,                 1.2408,                 1.7741,                0.80441,                0.76582,                0.79018,                0.53379,                 1.2492,                 1.2597,                 1.9121,             0.00013625,             0.00013625,             0.00013625
                     66,                 1.1084,                 1.2464,                  1.833,                0.77529,                0.79847,                0.79445,                0.57312,                 1.1511,                 1.2216,                 1.8467,             0.00011857,             0.00011857,             0.00011857
                     67,                 1.0175,                 1.1856,                 1.7422,                0.72308,                0.80595,                0.76304,                0.55136,                 1.0972,                 1.2076,                 1.8333,             0.00010089,             0.00010089,             0.00010089
                     68,                 1.0221,                 1.1549,                 1.7512,                0.72875,                0.78095,                0.75236,                  0.536,                 1.0878,                 1.2004,                 1.8479,             8.3214e-05,             8.3214e-05,             8.3214e-05
                     69,                 1.0785,                 1.1874,                  1.807,                0.73855,                0.78095,                0.78464,                0.55372,                 1.0761,                 1.1972,                  1.844,             6.5536e-05,             6.5536e-05,             6.5536e-05
                     70,                 1.0229,                 1.1364,                 1.7484,                0.75598,                0.77554,                0.79055,                0.56181,                 1.0672,                 1.1856,                 1.8342,             4.7857e-05,             4.7857e-05,             4.7857e-05
